location,latitude,longitude,magnitude,depth,day,hour,minute,sec
ATALAR-YESILYURT (MALATYA),38.2112,38.1857,4.4, 5.0 km,10,5,3,40
SAHINKAYASI-(KAHRAMANMARAS),37.8947,36.6898,4.4, 5.0 km,10,4,50,59
KEMALLI-(KAHRAMANMARAS),37.7385,37.1323,3,17.5 km,10,4,33,9
KALEKOY-GOKSUN (KAHRAMANMARAS),38.0388,36.6022,3.2, 5.0 km,10,4,17,1
GOLPINAR-GOKSUN (KAHRAMANMARAS),37.9627,36.5027,3.3, 5.1 km,10,4,15,3
NURHAK (KAHRAMANMARAS),37.9623,37.394,3, 4.3 km,10,4,4,10
ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),38.0787,36.5493,3, 3.1 km,10,4,1,52
KARAGOL-CELIKHAN (ADIYAMAN),38.1202,38.4437,3, 7.6 km,10,3,27,56
KADIRUSAGI-YESILYURT (MALATYA),38.2575,38.2255,4, 6.0 km,10,3,1,27
KIRECKOY-GOKSUN (KAHRAMANMARAS),37.9972,36.5115,3.8, 3.1 km,10,2,48,30
KOLCULAR-ALTINOZU (HATAY),35.9185,36.3593,3.7, 7.6 km,10,2,38,18
KOKLUCE-PALU (ELAZIG),38.7793,40.15,3, 7.9 km,10,2,31,48
GOKCEK-ELBISTAN (KAHRAMANMARAS),38.3675,37.2748,3.2, 5.4 km,10,2,26,31
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.0722,36.4968,3.2, 4.6 km,10,2,2,37
GUNDERE-ELBISTAN (KAHRAMANMARAS),38.3073,37.3423,3.1, 5.0 km,10,1,53,42
MOLLATOPUZ-OZALP (VAN),38.6635,44.1155,3.6, 5.0 km,10,1,21,30
ORTAKLI-ISLAHIYE (GAZIANTEP),36.9312,36.7172,4.2,11.2 km,10,1,6,38
BUYUKKIZILCIK-GOKSUN (KAHRAMANMARAS),38.172,36.7018,3.8, 5.0 km,10,1,0,21
GECITLI-SINCIK (ADIYAMAN),38.1443,38.5508,3.4, 2.8 km,10,0,51,49
DUTPINAR-MADEN (ELAZIG),38.3992,39.633,3, 8.7 km,10,0,50,33
ORDEKDEDE-PAZARCIK (KAHRAMANMARAS),37.2853,37.0995,3, 5.9 km,10,0,27,30
ALIBEYUSAGI-(KAHRAMANMARAS),37.425,37.0377,3, 5.7 km,10,0,2,10
GOKSUN (KAHRAMANMARAS),38.018,36.5017,3, 5.4 km,9,23,45,21
GOZPINAR-EKINOZU (KAHRAMANMARAS),38.044,37.2897,3.3, 4.4 km,9,23,40,34
UCOCAK-ARICAK (ELAZIG),38.488,40.2453,3.1, 7.7 km,9,23,14,22
KALEDIBI-HANI (DIYARBAKIR),38.509,40.3795,3.9, 5.0 km,9,23,3,46
ISIKLI-YESILYURT (MALATYA),38.2212,38.1093,3.9, 5.0 km,9,22,58,30
GOKSUN (KAHRAMANMARAS),38.012,36.5105,3.6, 3.2 km,9,22,37,44
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.0992,36.4978,3.1, 5.0 km,9,22,18,51
CALIS-ELBISTAN (KAHRAMANMARAS),38.123,37.0343,3.5, 5.3 km,9,21,52,33
KARASULEYMANLI-HAYMANA (ANKARA),39.3277,32.6472,3.7, 5.0 km,9,21,49,40
DEMIRCILER-PAZARCIK (KAHRAMANMARAS),37.3395,37.0355,3.8, 5.0 km,9,21,36,9
CAYKOY-PUTURGE (MALATYA),38.2723,38.695,3.1, 5.0 km,9,21,3,21
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.0977,36.4928,3.8, 2.8 km,9,20,51,50
YARPUZ-(OSMANIYE),37.0032,36.4162,3.2, 7.0 km,9,20,20,22
PINARBASI-CELIKHAN (ADIYAMAN),38.0173,38.2058,3.6, 5.0 km,9,19,30,22
NURDAGI (GAZIANTEP),37.1937,36.7543,3.2, 6.6 km,9,18,50,53
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.0418,36.5752,3.2, 5.0 km,9,18,49,15
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.3402,36.8617,3, 5.4 km,9,18,47,36
NEVRUZLU-(KAHRAMANMARAS),37.4225,36.9745,3, 3.0 km,9,18,42,7
BEGRE-DOGANSEHIR (MALATYA),38.0412,37.7028,3.2, 5.0 km,9,18,21,7
